year,temp
1940,-1.302719654290769
1941,-0.9887223521420513
1942,-1.1466098261282052
1943,-1.0727699416461538
1944,-0.9324943364461538
1945,-1.1125533399897436
1946,-0.8879764776051282
1947,-0.8742185719025641
1948,-1.0003212953451281
1949,-0.9999035376051282
1950,-1.0883175176641027
1951,-0.8522469226256411
1952,-0.8746904020974359
1953,-0.8942142588461539
1954,-1.107265748476923
1955,-1.0119274848102564
1956,-1.3686299930615384
1957,-0.8884196742871795
1958,-0.6522118045564103
1959,-0.816189123825641
1960,-0.6907475386870768
1961,-0.6758730872584615
1962,-0.9027365977384616
1963,-0.9043024636964102
1964,-0.9797188971148718
1965,-1.0784900953333334
1966,-0.6852056682666666
1967,-0.9367053890179488
1968,-0.908036670356923
1969,-0.7849843738169231
1970,-0.7229599080666667
1971,-0.9298933914871795
1972,-0.8702269844266667
1973,-0.6695443497179486
1974,-0.9598623964594871
1975,-0.8274678480000001
1976,-1.119291574848718
1977,-0.6560297908523076
1978,-0.8443807131587693
1979,-0.6312006703179487
1980,-0.6746980363794871
1981,-0.6252414852384615
1982,-0.6982784908051283
1983,-0.43455774209128206
1984,-0.7848762312
1985,-0.8448594608271794
1986,-0.7261664631589743
1987,-0.44470688724
1988,-0.3784939127979487
1989,-0.44281338780307694
1990,-0.16854590034820513
1991,-0.5130255743846154
1992,-0.6000800192158975
1993,-0.5792592893333333
1994,-0.26570377402564105
1995,-0.27559141597948716
1996,-0.590714122774359
1997,-0.3289719703246154
1998,0.09013204251794872
1999,-0.17126538105128206
2000,-0.21003618930215384
2001,-0.13587672938307693
2002,0.04188945581025641
2003,-0.024765783582564104
2004,-0.08360631532461538
2005,-0.022575208067179484
2006,0.02648920611128205
2007,0.12935195234923078
2008,-0.03308526398974359
2009,0.08821529663076923
2010,0.22847080682974358
2011,-0.03866633602820513
2012,0.013228417913333337
2013,0.09764069267435897
2014,0.2676434134358974
2015,0.4286535698240513
2016,0.5166147715605128
2017,0.3800880223902564
2018,0.4089290694083231
2019,0.5858432683358975
2020,0.5700335961338461
2021,0.40963541328256414
2022,0.4371115463020513
2023,0.8518060067538461
2024,1.121740298051282
